"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000220110",0,NA,NA,NA,NA,NA,"ENSG00000220110"
"ENSG00000202200",0,NA,NA,NA,NA,NA,"ENSG00000202200"
"LAMA2",692.666002694681,0.184594679654953,0.33151601724182,0.556819791667269,0.57765056007786,0.999975617694874,"LAMA2"
"MESTP1",0.506436232743898,0.330887678573947,0.771716608344181,0.428768378179536,0.668091793456625,NA,"MESTP1"
"BMPR1APS1",1.59188680255779,0.602616837017201,0.587315354878247,1.02605326425039,0.304866478019358,NA,"BMPR1APS1"
"RNU6-861P",0.873451822550003,-0.34026069308856,0.724655120819542,-0.469548455965846,0.638677657718112,NA,"RNU6-861P"
"ENSG00000233351",6.01427365227028,0.259732646489409,0.446270673909097,0.582006978442673,0.560561980368191,0.999975617694874,"ENSG00000233351"
"ENSG00000226149",20.5840504313916,0.227371495767001,0.433851423978757,0.524076868716544,0.600225076346353,0.999975617694874,"ENSG00000226149"
"ARHGAP18",434.831825588638,0.262038446326572,0.307732922795653,0.851512551682927,0.394484693900164,0.999975617694874,"ARHGAP18"
"RPL5P21",0.279394154014079,-0.0554896875988336,1.26144446207445,-0.0439890056733695,0.964913167587111,NA,"RPL5P21"
"ENSG00000219666",0.0174641710271044,-0.0692352353367703,3.33320894409395,-0.0207713457205996,0.983428055608598,NA,"ENSG00000219666"
"B3GALNT2P1",0.0348874180633181,-0.137934035042354,3.33320894409395,-0.0413817547462052,0.966991557940207,NA,"B3GALNT2P1"
"ENSG00000219302",0.157256602128306,-0.0967100997086488,1.64960186883606,-0.0586263276828647,0.95324974028583,NA,"ENSG00000219302"
"TMEM244",0.524308253997047,0.689972091071182,0.823895217080221,0.837451264150257,0.402338960453457,NA,"TMEM244"
"L3MBTL3",136.650188472266,0.308669241351599,0.285319899409824,1.0818356588169,0.279325558668435,0.999975617694874,"L3MBTL3"
"ENSG00000227678",2.55147844563859,0.271814663378773,0.616069747151898,0.441207614292663,0.659062701342504,0.999975617694874,"ENSG00000227678"
"SAMD3",42.7559161874387,-0.00519236312307416,0.469183505995603,-0.0110668066049253,0.991170146111134,0.999975617694874,"SAMD3"
"TMEM200A",104.788281002125,0.104358271393215,0.454621236539577,0.229549926412491,0.818441520714928,0.999975617694874,"TMEM200A"
"ENSG00000202438",0,NA,NA,NA,NA,NA,"ENSG00000202438"
"ENSG00000229923",0,NA,NA,NA,NA,NA,"ENSG00000229923"
"SMLR1",0.192147576446058,0.288004754817646,2.48340766677189,0.11597159768457,0.90767505164557,NA,"SMLR1"
"EPB41L2",1079.24492890076,0.24034508368415,0.339693058147557,0.707536047380008,0.479233419614659,0.999975617694874,"EPB41L2"
"AKAP7",65.7608260160531,-0.371359731214167,0.421326242417001,-0.881406600936621,0.378097786179169,0.999975617694874,"AKAP7"
"ENSG00000218857",0.59328506018479,1.45408291550146,1.33328814962573,1.09059914461074,0.275449306121505,NA,"ENSG00000218857"
"RPL21P67",0.0524934417632851,-0.206632834747937,3.33320894409395,-0.0619921637718107,0.950569072404398,NA,"RPL21P67"
"ARG1",9.21224635765748,-3.93550078533644,1.02510578609011,-3.83911674164574,0.0001234777128403,0.0531304249029917,"ARG1"
"MED23",462.098500058039,0.213718980490326,0.239207058392886,0.893447634556428,0.371617503037372,0.999975617694874,"MED23"
"ENPP3",42.213070180317,-0.0937720560070906,0.572187702746831,-0.163883382248396,0.869822949265551,0.999975617694874,"ENPP3"
"RNU4-18P",0,NA,NA,NA,NA,NA,"RNU4-18P"
